Country,Age,Count,Education level,Gender,Industry,Org,Org size,Role group,Role group Avg,Role,Problems,Prob_RoleGroup [%],Prob_RoleGroup Avg [%],Hope,Hope_RoleGroup [%],,,,,,
India,42-57,1,Master's degree,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,More specialized data science hardware,0.1931,,,,,,
United Kingdom,26-41,1,Bachelor's degree,Male,Healthcare,Not-for-profit organization,"201-1,000",Data science,Data science,Data Scientist,Other (please indicate below),0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
India,26-41,1,Bachelor's degree,Male,Finance,Commercial (for-profit) entity,"5,001-10,000",Business professional,Others avg.,Line-of-Business Manager,Advanced information warfare,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
India,58-67,1,Master's degree,Male,Education,Not-for-profit organization,1-200,Scientists,Others avg.,Research Scientist,Social impacts from bias in data and models,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
United States,26-41,1,Bachelor's degree,Male,Defense,Government agency,"10,001",Other,Others avg.,Other (please indicate below),Other (please indicate below),0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Algeria,26-41,1,High School or equivalent,Male,Automotive,Not-for-profit organization,"5,001-10,000",Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
India,42-57,1,Bachelor's degree,Male,Consulting,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,Lack of diversity and inclusion in the profession,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
United Kingdom,26-41,1,Master's degree,Other,Technology,Commercial (for-profit) entity,"1,001-3,000",Scientists,Others avg.,Research Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,More resources given to data science teams within organizations,0.4098,,,,,,
United States,18-25,1,Bachelor's degree,Male,Electronics,Commercial (for-profit) entity,1-200,Operations,Others avg.,DevOps,Lack of diversity and inclusion in the profession,0.6,0.03877471888,More resources given to data science teams within organizations,0.5882,,,,,,
Guatemala,42-57,1,Master's degree,Female,Technology,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Line-of-Business Manager,Social impacts from bias in data and models,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
Colombia,26-41,1,Bachelor's degree,Male,Retail,Commercial (for-profit) entity,"201-1,000",Operations,Others avg.,Cloud Security Manager,Impacts to individual privacy,0.6,0.03877471888,More resources given to data science teams within organizations,0.5882,,,,,,
India,18-25,1,Bachelor's degree,Male,,,,Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Singapore,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,18-25,1,Some college,Male,,,,Data science,Data science,Data Engineer,Lack of diversity and inclusion in the profession,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United Kingdom,26-41,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Advanced information warfare,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Bangladesh,26-41,1,Some college,Male,Defense,Government agency,"1,001-3,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
South Africa,42-57,1,Master's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
United States,58-67,1,Bachelor's degree,Male,Government,Government agency,1-200,Data science,Data science,Data Scientist,Lack of diversity and inclusion in the profession,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
Latvia,26-41,1,Master's degree,Male,Insurance,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
India,18-25,1,Bachelor's degree,Male,Healthcare,Commercial (for-profit) entity,"201-1,000",Scientists,Others avg.,Research Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,More resources given to data science teams within organizations,0.4098,,,,,,
Nepal,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,Lack of diversity and inclusion in the profession,0.2,0.03877471888,More specialized data science hardware,0.1931,,,,,,
Germany,42-57,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Social impacts from bias in data and models,0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,,,,,
United States,26-41,1,Some college,Male,Transportation & Logistics,Commercial (for-profit) entity,"201-1,000",Business professional,Others avg.,Business Analyst,A reduction in job opportunities caused by automation,0.3,0.03877471888,Further innovation in vendor-specific data science products,0.2976,,,,,,
United States,26-41,1,Some college,Male,,Educational institution,,Business professional,Others avg.,Business Analyst,A reduction in job opportunities caused by automation,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
India,26-41,1,Master's degree,Male,Finance,Commercial (for-profit) entity,"5,001-10,000",Business professional,Others avg.,Line-of-Business Manager,Advanced information warfare,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
United States,26-41,1,Bachelor's degree,Male,Consulting,Not-for-profit organization,"201-1,000",Business professional,Others avg.,Business Analyst,Lack of diversity and inclusion in the profession,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
Algeria,26-41,1,High School or equivalent,Female,Automotive,Government agency,"5,001-10,000",Data science,Data science,Data Engineer,Impacts to individual privacy,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,42-57,1,High School or equivalent,Female,,Educational institution,,Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Female,Retail,Government agency,"1,001-3,000",Data science,Data science,Data Engineer,Impacts to individual privacy,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
Angola,26-41,1,Some college,Male,Consulting,Government agency,"1,001-3,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
India,26-41,1,Master's degree,Male,Insurance,Commercial (for-profit) entity,"1,001-3,000",Business professional,Others avg.,Product Manager,Lack of diversity and inclusion in the profession,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.2976,,,,,,
Pakistan,42-57,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,1-200,Scientists,Others avg.,Applied Scientist,Impacts to individual privacy,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
United States,26-41,1,Master's degree,Female,Defense,Not-for-profit organization,"1,001-3,000",Business professional,Others avg.,Business Analyst,Social impacts from bias in data and models,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
Switzerland,42-57,1,Master's degree,Male,Insurance,Commercial (for-profit) entity,"5,001-10,000",Operations,Others avg.,System Administrator,Social impacts from bias in data and models,0.6,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.5882,,,,,,
Turkey,26-41,1,Master's degree,Female,Automotive,Commercial (for-profit) entity,"5,001-10,000",Other,Others avg.,Other (please indicate below),Advanced information warfare,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Thailand,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,Advanced information warfare,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Germany,42-57,1,Doctoral degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Social impacts from bias in data and models,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
India,18-25,1,Bachelor's degree,Male,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
India,26-41,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
France,26-41,1,Doctoral degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Impacts to individual privacy,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Nigeria,42-57,1,Master's degree,Male,Energy,Commercial (for-profit) entity,"1,001-3,000",Other,Others avg.,Other (please indicate below),Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Zimbabwe,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,Advanced information warfare,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
Ghana,26-41,1,Master's degree,Male,,Educational institution,,Scientists,Others avg.,Research Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
Croatia,18-25,1,Master's degree,Male,,Educational institution,,Other,Others avg.,Other (please indicate below),Other (please indicate below),0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Kazakhstan,26-41,1,Master's degree,Male,Energy,Commercial (for-profit) entity,"3,001-5,000",Other,Others avg.,Other (please indicate below),Impacts to individual privacy,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
Malaysia,26-41,1,Bachelor's degree,Male,Energy,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,Further innovation in vendor-specific data science products,0.1678,,,,,,
United States,42-57,1,Bachelor's degree,Male,Defense,Government agency,"1,001-3,000",Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,42-57,1,Bachelor's degree,Male,Education,Government agency,"1,001-3,000",Data science,Data science,Data Engineer,Social impacts from bias in data and models,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
Philippines,58-67,1,Master's degree,Female,,Educational institution,,Other,Others avg.,Developer,Lack of diversity and inclusion in the profession,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United States,42-57,1,Bachelor's degree,Male,Consulting,Government agency,"1,001-3,000",Scientists,Others avg.,Applied Scientist,Advanced information warfare,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
United States,26-41,1,Bachelor's degree,Male,Automotive,Commercial (for-profit) entity,"201-1,000",Business professional,Others avg.,Product Manager,Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
United States,26-41,1,Bachelor's degree,Male,Automotive,Commercial (for-profit) entity,"201-1,000",Business professional,Others avg.,Product Manager,Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
Nigeria,18-25,1,Some college,Female,,,,Education,Others avg.,Student,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
India,26-41,1,Doctoral degree,Male,,Educational institution,,Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
Algeria,26-41,1,High School or equivalent,Female,Construction,Not-for-profit organization,"5,001-10,000",Operations,Others avg.,Cloud Security Manager,Impacts to individual privacy,0.6,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.5882,,,,,,
India,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,Advanced information warfare,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
Netherlands,26-41,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Other (please indicate below),0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United Kingdom,26-41,1,Doctoral degree,Female,Utilities,Commercial (for-profit) entity,"3,001-5,000",Data science,Data science,Data Scientist,Lack of diversity and inclusion in the profession,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
Germany,26-41,1,Master's degree,Male,,,,Education,Others avg.,Student,Social impacts from bias in data and models,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Kenya,18-25,1,Bachelor's degree,Male,Technology,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,Advanced information warfare,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
Switzerland,42-57,1,Doctoral degree,Male,Energy,Commercial (for-profit) entity,1-200,Education,Others avg.,Professor/Instructor/Researcher,A reduction in job opportunities caused by automation,0.2,0.03877471888,Other (please indicate below),0.1931,,,,,,
Algeria,26-41,1,Some college,Male,Construction,Commercial (for-profit) entity,"201-1,000",Other,Others avg.,Developer,Social impacts from bias in data and models,0.3,0.03877471888,More specialized data science hardware,0.3448,,,,,,
United States,26-41,1,Bachelor's degree,Male,Electronics,Commercial (for-profit) entity,"201-1,000",Operations,Others avg.,DevOps,Social impacts from bias in data and models,0.6,0.03877471888,More specialized data science hardware,0.5882,,,,,,
United States,26-41,1,Bachelor's degree,Male,Defense,Commercial (for-profit) entity,"201-1,000",Data science,Data science,ML Engineer,Impacts to individual privacy,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,26-41,1,Some college,Male,Defense,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Engineer,Impacts to individual privacy,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Male,Construction,Commercial (for-profit) entity,"201-1,000",Scientists,Others avg.,Research Scientist,Impacts to individual privacy,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Angola,26-41,1,Some college,Male,Engineering,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Engineer,Social impacts from bias in data and models,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
United Kingdom,26-41,1,Some college,Male,Government,Government agency,"1,001-3,000",Data science,Data science,Data Engineer,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Nigeria,42-57,1,Bachelor's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Impacts to individual privacy,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Algeria,26-41,1,Some college,Male,Construction,Not-for-profit organization,"5,001-10,000",Scientists,Others avg.,Research Scientist,Impacts to individual privacy,0.4,0.03877471888,More resources given to data science teams within organizations,0.4098,,,,,,
South Africa,26-41,1,Master's degree,Male,,Educational institution,,Data science,Data science,Data Scientist,Lack of diversity and inclusion in the profession,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
India,26-41,1,Bachelor's degree,Male,Finance,Commercial (for-profit) entity,"5,001-10,000",Other,Others avg.,Developer,Advanced information warfare,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
Singapore,58-67,1,Some college,Male,,,,Other,Others avg.,Other (please indicate below),Lack of diversity and inclusion in the profession,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
Germany,26-41,1,Master's degree,Male,Consulting,Commercial (for-profit) entity,1-200,Data science,Data science,Data Engineer,Lack of diversity and inclusion in the profession,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,26-41,1,Some college,Male,Construction,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Germany,26-41,1,Master's degree,Male,Retail,Commercial (for-profit) entity,"10,001",Data science,Data science,ML Engineer,A reduction in job opportunities caused by automation,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,26-41,1,Some college,Male,Consulting,Commercial (for-profit) entity,"1,001-3,000",Data science,Data science,Data Engineer,Impacts to individual privacy,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
India,18-25,1,Bachelor's degree,Female,,,,Education,Others avg.,Student,Impacts to individual privacy,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United States,26-41,1,Bachelor's degree,Male,Construction,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Product Manager,Advanced information warfare,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
South Africa,42-57,1,Bachelor's degree,Male,,,,Business professional,Others avg.,Business Analyst,Advanced information warfare,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.2976,,,,,,
Greece,26-41,1,Master's degree,Male,Other,Commercial (for-profit) entity,1-200,Data science,Data science,ML Engineer,A reduction in job opportunities caused by automation,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
Madagascar,26-41,1,High School or equivalent,Female,Government,Government agency,1-200,Scientists,Others avg.,Applied Scientist,Advanced information warfare,0.4,0.03877471888,More specialized data science hardware,0.4098,,,,,,
India,18-25,1,Some college,Male,Retail,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,Lack of diversity and inclusion in the profession,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
Kenya,26-41,1,Bachelor's degree,Male,,Educational institution,,Data science,Data science,Data Engineer,Social impacts from bias in data and models,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,26-41,1,Some college,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Advanced information warfare,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United States,18-25,1,Some college,Female,Consulting,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Business Analyst,Advanced information warfare,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
Azerbaijan,18-25,1,High School or equivalent,Male,,,,Education,Others avg.,Student,Impacts to individual privacy,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United Kingdom,26-41,1,Doctoral degree,Male,Research & Development,Commercial (for-profit) entity,1-200,Scientists,Others avg.,Research Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,Further innovation in the open-source data science community,0.4098,,,,,,
United States,26-41,1,Bachelor's degree,Female,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Social impacts from bias in data and models,0.2,0.03877471888,More resources given to data science teams within organizations,0.1931,,,,,,
India,26-41,1,Master's degree,Male,Technology,Commercial (for-profit) entity,"10,001",Education,Others avg.,Professor/Instructor/Researcher,Advanced information warfare,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Belarus,26-41,1,High School or equivalent,Female,Education,Not-for-profit organization,"201-1,000",Data science,Data science,Data Engineer,Advanced information warfare,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Advanced information warfare,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
Switzerland,26-41,1,Doctoral degree,Male,Energy,Commercial (for-profit) entity,"10,001",Other,Others avg.,Developer,Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United Kingdom,26-41,1,Bachelor's degree,Male,Healthcare,Not-for-profit organization,1-200,Business professional,Others avg.,Business Analyst,Lack of diversity and inclusion in the profession,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
Antigua & Deps,42-57,1,Some college,Male,Defense,Commercial (for-profit) entity,"3,001-5,000",Business professional,Others avg.,Business Analyst,Social impacts from bias in data and models,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
United Kingdom,26-41,1,Doctoral degree,Female,,Educational institution,,Scientists,Others avg.,Research Scientist,Social impacts from bias in data and models,0.4,0.03877471888,More specialized data science hardware,0.4098,,,,,,
United States,42-57,1,Bachelor's degree,Male,,Educational institution,,Operations,Others avg.,System Administrator,Social impacts from bias in data and models,0.6,0.03877471888,More resources given to data science teams within organizations,0.5882,,,,,,
United States,26-41,1,Master's degree,Female,Telecommunications,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Engineer,Advanced information warfare,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
Andorra,26-41,1,Some college,Female,Consulting,Not-for-profit organization,"1,001-3,000",Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
Barbados,26-41,1,Bachelor's degree,Male,Hospitality,Not-for-profit organization,"1,001-3,000",Data science,Data science,ML Engineer,Advanced information warfare,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Female,Engineering,Commercial (for-profit) entity,"1,001-3,000",Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
Turkey,26-41,1,Master's degree,Male,,,,Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Canada,26-41,1,Bachelor's degree,Female,Automotive,Commercial (for-profit) entity,1-200,Data science,Data science,Data Engineer,Impacts to individual privacy,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
United States,26-41,1,High School or equivalent,Female,Food & Beverage,Commercial (for-profit) entity,1-200,Business professional,Others avg.,Line-of-Business Manager,Lack of diversity and inclusion in the profession,0.3,0.03877471888,More resources given to data science teams within organizations,0.2976,,,,,,
Colombia,18-25,1,High School or equivalent,Male,,Educational institution,,Other,Others avg.,Developer,A reduction in job opportunities caused by automation,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
Belarus,26-41,1,Bachelor's degree,Male,Finance,Commercial (for-profit) entity,1-200,Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
Dominican Republic,26-41,1,Master's degree,Female,,,,Education,Others avg.,Student,A reduction in job opportunities caused by automation,0.2,0.03877471888,Further innovation in vendor-specific data science products,0.1931,,,,,,
United States,18-25,1,Some college,Male,Research & Development,Commercial (for-profit) entity,"201-1,000",Operations,Others avg.,Cloud Engineer,Social impacts from bias in data and models,0.6,0.03877471888,More resources given to data science teams within organizations,0.5882,,,,,,
Algeria,26-41,1,Some college,Female,Education,Commercial (for-profit) entity,"201-1,000",Data science,Data science,Data Engineer,Impacts to individual privacy,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,18-25,1,Some college,Female,,,,Education,Others avg.,Student,Lack of diversity and inclusion in the profession,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United States,42-57,1,High School or equivalent,Male,Manufacturing,Not-for-profit organization,"201-1,000",Business professional,Others avg.,Product Manager,Impacts to individual privacy,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.2976,,,,,,
United States,26-41,1,Bachelor's degree,Female,,Educational institution,,Data science,Data science,ML Engineer,A reduction in job opportunities caused by automation,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Male,Electronics,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,A reduction in job opportunities caused by automation,0.3,0.03877471888,More specialized data science hardware,0.3448,,,,,,
United States,26-41,1,Some college,Male,Transportation & Logistics,Commercial (for-profit) entity,"1,001-3,000",Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United States,26-41,1,Some college,Male,,Educational institution,,Other,Others avg.,Developer,Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
United States,42-57,1,Bachelor's degree,Male,Agriculture,Commercial (for-profit) entity,"3,001-5,000",Other,Others avg.,Developer,Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
United States,58-67,1,Bachelor's degree,Male,Education,Not-for-profit organization,"3,001-5,000",Data science,Data science,Data Scientist,Advanced information warfare,0.2,0.2,Further innovation in the open-source data science community,0.1678,,,,,,
United States,42-57,1,Bachelor's degree,Female,Media,Commercial (for-profit) entity,"3,001-5,000",Operations,Others avg.,DevOps,Social impacts from bias in data and models,0.6,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.5882,,,,,,
South Africa,26-41,1,Bachelor's degree,Male,Professional Services,Commercial (for-profit) entity,1-200,Scientists,Others avg.,Applied Scientist,Lack of diversity and inclusion in the profession,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Antigua & Deps,42-57,1,Bachelor's degree,Male,Defense,Not-for-profit organization,"3,001-5,000",Other,Others avg.,Developer,Social impacts from bias in data and models,0.3,0.03877471888,Further innovation in the open-source data science community,0.3448,,,,,,
United States,26-41,1,Bachelor's degree,Female,Education,Commercial (for-profit) entity,1-200,Education,Others avg.,Professor/Instructor/Researcher,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Further innovation in vendor-specific data science products,0.1931,,,,,,
United States,26-41,1,Bachelor's degree,Male,,Educational institution,,Data science,Data science,Data Engineer,Social impacts from bias in data and models,0.2,0.2,More specialized data science hardware,0.1678,,,,,,
Andorra,26-41,1,Some college,Male,Pharmaceutical,Not-for-profit organization,"5,001-10,000",Data science,Data science,Data Scientist,Impacts to individual privacy,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Female,Entertainment,Commercial (for-profit) entity,"201-1,000",Other,Others avg.,Developer,Social impacts from bias in data and models,0.3,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.3448,,,,,,
United States,26-41,1,High School or equivalent,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Lack of diversity and inclusion in the profession,0.2,0.03877471888,Further innovation in the open-source data science community,0.1931,,,,,,
Australia,26-41,1,Bachelor's degree,Male,Engineering,Commercial (for-profit) entity,1-200,Other,Others avg.,Developer,Impacts to individual privacy,0.3,0.03877471888,More resources given to data science teams within organizations,0.3448,,,,,,
Egypt,26-41,1,Master's degree,Male,Insurance,Government agency,"201-1,000",Data science,Data science,Data Scientist,A reduction in job opportunities caused by automation,0.2,0.2,More resources given to data science teams within organizations,0.1678,,,,,,
United States,26-41,1,Bachelor's degree,Male,,Educational institution,,Education,Others avg.,Professor/Instructor/Researcher,Lack of diversity and inclusion in the profession,0.2,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.1931,,,,,,
United States,26-41,1,Bachelor's degree,Male,Construction,Government agency,1-200,Operations,Others avg.,System Administrator,Impacts to individual privacy,0.6,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.5882,,,,,,
United States,42-57,1,Some college,Female,Insurance,Government agency,"1,001-3,000",Business professional,Others avg.,Product Manager,Impacts to individual privacy,0.3,0.03877471888,Further innovation in the open-source data science community,0.2976,,,,,,
Canada,26-41,1,Bachelor's degree,Male,Defense,Government agency,"1,001-3,000",Scientists,Others avg.,Research Scientist,Social impacts from bias in data and models,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Antigua & Deps,26-41,1,Some college,Other,Defense,Not-for-profit organization,"1,001-3,000",Scientists,Others avg.,Applied Scientist,Advanced information warfare,0.4,0.03877471888,New optimized models that allow for more complex computations to be conducted faster,0.4098,,,,,,
Australia,18-25,1,Bachelor's degree,Female,Consulting,Not-for-profit organization,"3,001-5,000",Data science,Data science,Data Scientist,Social impacts from bias in data and models,0.2,0.2,New optimized models that allow for more complex computations to be conducted faster,0.1678,,,,,,
